Date,Market_Start,Market_End,Hora,Planet,Hora_Start,Hora_End,Market_Overlap_Start,Market_Overlap_End,Overlap_Minutes
2026-09-21,09:15:00,15:30:00,14,Mercury,08:08:20,10:07:40,09:15:00,10:07:40,52.67
2026-09-21,09:15:00,15:30:00,15,Moon,10:07:40,12:07:00,10:07:40,12:07:00,119.33
2026-09-21,09:15:00,15:30:00,16,Saturn,12:07:00,14:06:20,12:07:00,14:06:20,119.33
2026-09-21,09:15:00,15:30:00,17,Jupiter,14:06:20,16:05:40,14:06:20,15:30:00,83.67
2026-09-22,09:15:00,15:30:00,14,Jupiter,08:08:20,10:07:40,09:15:00,10:07:40,52.67
2026-09-22,09:15:00,15:30:00,15,Mars,10:07:40,12:07:00,10:07:40,12:07:00,119.33
2026-09-22,09:15:00,15:30:00,16,Sun,12:07:00,14:06:20,12:07:00,14:06:20,119.33
2026-09-22,09:15:00,15:30:00,17,Venus,14:06:20,16:05:40,14:06:20,15:30:00,83.67
2026-09-23,09:15:00,15:30:00,14,Venus,08:07:25,10:06:50,09:15:00,10:06:50,51.83
2026-09-23,09:15:00,15:30:00,15,Mercury,10:06:50,12:06:15,10:06:50,12:06:15,119.42
2026-09-23,09:15:00,15:30:00,16,Moon,12:06:15,14:05:40,12:06:15,14:05:40,119.42
2026-09-23,09:15:00,15:30:00,17,Saturn,14:05:40,16:05:05,14:05:40,15:30:00,84.33
2026-09-24,09:15:00,15:30:00,14,Saturn,08:06:30,10:06:00,09:15:00,10:06:00,51.0
2026-09-24,09:15:00,15:30:00,15,Jupiter,10:06:00,12:05:30,10:06:00,12:05:30,119.5
2026-09-24,09:15:00,15:30:00,16,Mars,12:05:30,14:05:00,12:05:30,14:05:00,119.5
2026-09-24,09:15:00,15:30:00,17,Sun,14:05:00,16:04:30,14:05:00,15:30:00,85.0
